copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
203,90,113,276,32,588,0.00127
192,94,110,285,31,143,0.000824
203,86,105,283,31,142,0.000819
202,87,106,282,37,167,0.000844
205,86,103,306,31,138,0.000838
197,82,103,284,32,160,0.000826
91,81,102,278,31,151,0.000703
201,87,104,284,32,161,0.000837
199,86,101,282,29,153,0.000821
91,81,103,286,31,140,0.000701
196,82,105,286,32,152,0.000821
206,81,102,284,30,165,0.000838
200,82,103,282,30,141,0.000808
182,81,105,281,30,143,0.000792
211,81,103,276,31,140,0.000811
208,81,104,280,31,145,0.000818
197,81,102,282,30,144,0.000806
182,81,105,286,31,165,0.000819
199,81,104,300,31,143,0.000827
195,81,103,310,31,144,0.000833
199,87,116,280,30,133,0.000815
201,85,106,278,30,133,0.000803
194,86,110,277,30,133,0.0008
201,80,104,278,31,133,0.000796
199,85,105,280,32,146,0.000815
197,85,105,286,32,148,0.000821
200,85,106,282,32,134,0.000807
185,86,106,281,32,148,0.000806
211,85,104,281,32,144,0.000825
197,87,104,281,32,146,0.000815
