copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
383,50,243,493,36,608,0.001777
349,47,239,493,37,226,0.001354
331,42,235,489,39,222,0.001319
334,42,238,488,39,219,0.001321
348,42,237,491,38,215,0.001333
336,44,237,487,37,214,0.001318
334,41,235,493,39,227,0.00133
341,43,238,486,38,212,0.00132
336,44,236,488,36,217,0.001321
363,44,235,490,39,216,0.001348
337,45,238,491,39,216,0.001327
367,44,236,489,38,215,0.001351
342,43,237,490,39,217,0.001329
355,43,236,487,37,210,0.001331
335,46,237,487,37,213,0.001318
331,43,237,489,39,197,0.001297
358,43,237,489,38,195,0.001322
240,42,235,491,38,220,0.001228
348,45,235,488,39,215,0.001331
345,44,237,491,39,220,0.001337
370,44,234,486,35,214,0.001348
358,46,236,490,39,223,0.001353
355,42,237,489,37,216,0.001339
351,43,235,490,38,221,0.00134
351,44,236,488,40,215,0.001334
351,43,237,479,36,182,0.001292
348,45,242,485,37,182,0.001302
349,42,233,492,38,242,0.001358
329,41,229,487,37,221,0.001307
333,44,235,491,38,216,0.001319
