copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
2506,158,15778,4617,156,1249,0.024308
1542,154,16183,4615,157,1245,0.023739
1975,153,16488,4613,157,1243,0.024472
1698,155,16720,4626,157,1244,0.024443
1539,154,16520,4615,157,1246,0.024074
1831,155,16659,4627,157,1248,0.02452
1573,153,16377,4610,157,1243,0.023956
2122,155,16719,4611,156,1245,0.024852
1678,154,16547,4608,155,1243,0.02423
1935,153,16748,4612,157,1248,0.024696
1830,154,16379,4624,156,1242,0.024229
1466,154,17139,4641,157,1244,0.024644
1584,152,16314,4604,157,1243,0.023897
2083,155,16565,4628,158,1241,0.024672
2102,154,16215,4613,156,1254,0.024338
1831,156,16530,4606,157,1368,0.024491
1598,152,16618,4645,159,1246,0.024259
1789,153,16217,4620,158,1242,0.024021
1950,155,16347,4607,157,1245,0.024304
1663,154,16186,4616,165,1251,0.02387
1882,156,16237,4623,156,1240,0.024138
1715,154,16339,4621,157,1243,0.024072
2121,153,15791,4607,157,1249,0.023921
1663,154,15810,4616,157,1243,0.023486
1878,156,15838,4621,156,1240,0.023733
1846,155,16354,4605,156,1242,0.024202
1762,155,16200,4621,156,1240,0.023978
1614,152,16005,4610,157,1241,0.023622
2512,167,16438,4604,158,1248,0.024969
1585,154,16180,4610,156,1247,0.023776
