copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
133,36,93,160,28,501,0.000923
33,31,78,164,28,28,0.000334
31,24,70,156,27,28,0.000309
31,23,69,156,27,27,0.000306
35,26,69,155,26,27,0.000312
31,22,70,155,26,28,0.000306
30,23,69,167,27,27,0.000316
36,24,75,155,26,27,0.000317
30,23,69,155,25,29,0.000306
32,24,72,155,26,27,0.00031
32,23,69,152,27,27,0.000303
40,32,73,156,26,27,0.000328
30,22,70,155,27,28,0.000305
31,23,70,160,27,28,0.000312
31,23,70,155,26,27,0.000306
35,23,70,155,27,27,0.00031
31,23,70,150,26,27,0.000301
31,23,70,155,27,27,0.000306
31,23,70,156,26,27,0.000307
30,23,69,155,27,27,0.000304
32,23,70,165,26,27,0.000317
30,22,70,155,27,27,0.000304
31,23,70,155,26,27,0.000306
31,23,70,155,26,27,0.000306
30,23,70,156,26,27,0.000306
31,23,74,151,27,27,0.000306
31,23,71,157,27,27,0.000309
31,23,70,160,26,27,0.000311
31,22,70,150,26,26,0.000299
30,23,69,155,27,35,0.000312
