copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
154,35,78,153,28,483,0.000903
37,31,74,166,26,29,0.000337
31,26,72,149,27,30,0.000308
31,26,72,195,27,30,0.000354
32,27,72,147,26,30,0.000308
31,27,71,154,26,31,0.000314
30,26,71,149,27,30,0.000306
31,27,72,148,26,30,0.000308
31,27,72,147,25,30,0.000307
31,28,85,157,26,30,0.000331
31,27,72,146,25,31,0.000307
34,26,71,148,27,31,0.00031
33,47,72,149,27,30,0.000331
41,26,73,148,26,31,0.000319
36,26,71,162,27,31,0.000326
31,27,72,148,27,29,0.000307
35,27,71,155,33,39,0.000327
36,27,73,148,26,31,0.000315
35,27,72,147,26,28,0.000309
35,26,71,148,26,36,0.000316
34,26,71,149,26,31,0.000311
36,27,72,150,26,30,0.000315
45,27,72,148,26,29,0.000321
35,27,71,162,25,34,0.000329
31,26,72,149,26,30,0.000308
35,27,71,149,27,31,0.000313
31,30,98,148,26,30,0.000337
31,26,71,166,31,31,0.000325
34,26,71,147,25,30,0.000308
31,26,72,166,27,31,0.000326
