copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
1225,259,2450,1257,56,332,0.005523
614,269,2481,1264,57,330,0.004958
620,252,2427,1244,56,330,0.004873
620,254,2417,1245,56,331,0.004867
611,250,2452,1249,56,331,0.004893
607,255,2430,1234,55,330,0.004856
603,251,2459,1239,55,330,0.004882
610,255,2435,1301,56,330,0.004931
594,249,2489,1248,55,331,0.004911
604,249,2400,1240,55,331,0.004824
495,252,2690,1251,57,335,0.005023
602,248,2467,1238,56,329,0.004884
609,251,2423,1236,56,330,0.004849
607,255,2450,1248,56,333,0.004893
492,249,2462,1235,56,330,0.004768
649,254,2488,1249,56,332,0.004972
644,253,2499,1241,56,332,0.004969
607,252,2432,1247,56,337,0.004875
619,252,2508,1248,57,331,0.004958
457,254,2531,1248,56,332,0.004822
620,260,2422,1249,61,336,0.004887
621,256,2508,1243,56,331,0.004959
633,255,2463,1253,57,334,0.004938
623,261,2377,1237,57,332,0.00483
629,254,2374,1249,56,331,0.004837
464,254,2482,1256,57,328,0.004784
617,255,2518,1249,57,331,0.00497
630,255,2491,1244,57,331,0.004951
614,255,2458,1247,55,328,0.004902
630,256,2466,1233,56,332,0.004917
