copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
2276,907,16125,4631,156,1243,0.025182
1607,900,16095,4594,157,1240,0.024436
1617,896,16027,4621,156,1251,0.024412
1497,902,17178,4613,157,1245,0.025435
1827,900,16537,4614,156,1242,0.02512
1531,898,17722,4926,156,1243,0.02632
1795,899,16192,4899,160,1240,0.025025
1932,899,15874,4613,156,1241,0.024559
1600,897,16532,4612,154,1242,0.024883
2041,896,16295,4623,156,1245,0.0251
1789,912,16973,4623,157,1249,0.025546
1676,902,16600,4618,156,1241,0.025037
1631,897,16564,4597,154,1242,0.024931
1741,912,16542,4606,153,1267,0.025068
1767,898,16694,4683,154,1247,0.025289
1785,912,16625,4622,150,1273,0.025217
1935,913,16792,4622,152,1268,0.02553
1888,899,16591,4586,151,1240,0.025204
2108,898,16272,4606,151,1240,0.025124
1836,912,16579,4597,152,1314,0.025238
1757,911,16714,4595,151,1269,0.025246
1590,912,16223,4621,151,1267,0.024613
2074,915,16582,4603,151,1237,0.025411
1745,915,16163,4602,152,1266,0.024691
1784,910,16590,4604,151,1268,0.025156
1790,905,16511,4604,151,1238,0.025048
1944,906,16822,4616,151,1239,0.025527
2093,917,16900,4621,153,1240,0.025771
1611,904,16488,4597,151,1240,0.02484
1761,902,16696,4593,151,1237,0.025189
