copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
398,148,243,486,36,612,0.001887
200,144,235,476,30,190,0.001245
308,137,229,460,29,170,0.001304
307,139,226,475,31,167,0.001314
305,135,227,466,30,168,0.001301
302,138,228,475,31,169,0.001312
315,139,233,462,30,174,0.001323
307,138,224,473,31,178,0.00132
194,138,229,478,30,199,0.001238
310,133,230,462,30,170,0.001305
304,134,233,476,30,200,0.001347
309,137,228,461,30,166,0.001301
312,136,231,477,31,169,0.001325
310,135,228,481,32,197,0.001351
313,138,229,490,32,166,0.001336
308,139,238,476,31,198,0.001359
306,137,229,466,29,172,0.00131
311,138,230,477,28,179,0.001335
307,138,224,463,31,172,0.001304
339,143,237,474,33,169,0.001362
302,137,223,468,31,163,0.001293
304,139,225,474,30,164,0.001306
306,150,244,480,32,180,0.00136
311,139,225,475,32,199,0.001349
304,137,233,476,30,200,0.00135
307,139,229,479,28,200,0.001354
311,140,225,478,32,201,0.001355
309,140,230,476,30,198,0.001353
320,139,222,473,32,206,0.00136
304,138,225,475,28,199,0.001341
