copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
2422,159,16126,4615,156,1244,0.024566
1531,154,16542,4598,157,1243,0.024068
1811,155,16325,4591,157,1247,0.024129
1802,155,16749,4602,157,1243,0.024551
1678,153,17154,4725,158,1243,0.024953
1548,153,16367,4604,157,1244,0.023916
1603,153,16626,4602,156,1245,0.024229
1535,153,16423,4591,157,1244,0.023946
4202,251,16468,4610,155,1307,0.026838
1779,155,16284,4606,165,1254,0.024078
1407,160,18276,4833,170,1681,0.026357
1514,150,16239,4604,152,1247,0.023754
1666,154,16671,4616,157,1248,0.024355
1686,155,16904,4665,163,1265,0.024675
1773,150,16302,4606,152,1244,0.024075
1641,154,16564,4606,158,1245,0.02421
1923,154,16573,4644,160,1260,0.024554
1570,153,16634,4595,168,1247,0.024199
1670,155,17137,4625,152,1283,0.02487
1956,152,16524,4590,152,1235,0.024457
1627,148,16824,4583,151,1245,0.024427
1552,148,16454,4589,152,1244,0.023987
2159,148,16293,4568,151,1247,0.024415
1833,152,16621,4596,152,1273,0.024475
1858,173,16375,4603,160,1260,0.024269
1693,155,16171,4602,156,1242,0.023863
1598,152,16275,4613,157,1270,0.023908
1679,152,16876,4619,157,1250,0.024576
1621,152,16918,4616,158,1246,0.024553
1677,153,16518,4619,158,1249,0.024216
