window,fft,magnitude
1046,818,118
1026,828,119
1027,820,119
1037,817,119
1027,817,119
1042,817,118
1025,814,118
1055,824,119
1083,824,119
1032,814,119
1032,815,124
1031,820,118
1030,824,119
1073,819,118
1044,821,119
1033,817,119
1123,855,119
1025,814,119
1046,833,119
1030,830,119
1032,822,119
1034,810,118
1039,814,123
1043,815,119
1048,812,180
1047,827,118
1025,819,118
1028,822,119
1026,812,119
1034,855,119
