window,fft,magnitude
16785,17051,1906
17219,16955,1938
16800,17367,1912
17242,17821,1971
16678,16944,1904
16824,16409,1908
16627,16367,1953
16597,16359,1981
16550,17109,1912
16586,17239,1904
16587,16487,1957
16833,17055,2003
17111,16829,2000
17145,17534,2049
16594,16753,1927
16954,17365,1933
16853,17095,1903
16593,16526,1902
17299,16681,1901
16507,16326,1906
16514,16348,1906
16603,16226,1910
16495,16510,1905
16554,16132,1902
16593,16664,1913
16479,16185,1901
16536,16821,1920
16542,16966,1942
16523,16182,1947
16591,16880,1907
