window,fft,magnitude
6,337,1
6,334,1
6,332,1
7,369,1
6,327,1
6,333,1
6,333,1
6,329,1
6,338,1
6,344,1
6,347,1
7,400,1
8,429,1
9,451,1
8,432,1
8,422,1
6,345,1
8,438,1
8,413,1
7,402,1
8,403,1
8,404,1
7,389,1
7,386,1
10,521,1
6,347,1
7,385,1
7,401,1
8,400,1
8,399,1
