window,fft,magnitude
20,368,3
20,369,3
21,386,3
23,400,3
19,352,2
22,409,3
21,374,3
19,344,2
21,389,3
19,347,2
21,372,3
21,390,3
24,446,3
19,355,2
19,352,2
22,409,3
23,413,3
21,364,3
20,356,2
21,403,3
41,358,2
24,418,3
21,385,3
19,457,2
20,368,3
24,419,3
21,378,3
23,398,3
28,369,3
19,348,2
