host,window,reverse,fft,magnitude,device
2886,1122,862,8477,105,1119
2755,1046,864,8074,107,1055
2850,1018,951,8757,99,1220
2796,1002,807,7859,107,1104
2841,1085,790,8663,110,1275
2894,1155,957,8723,74,971
2867,995,902,7916,93,1040
2853,1044,899,8548,112,932
3064,1033,886,7991,114,1179
2836,1160,912,8319,112,1020
