host,window,reverse,fft,magnitude,device
2432,841,168,101,24,270
2407,1022,194,98,24,322
2443,843,167,86,26,270
2364,868,245,109,55,289
2381,904,165,98,25,271
2465,1016,171,106,25,257
2548,874,172,103,26,266
2721,940,217,97,43,301
2685,1012,170,112,28,312
2363,959,189,97,40,265
