window,fft,magnitude
52,49,5
41,38,4
32,30,3
37,36,4
35,36,5
38,36,4
46,41,4
33,29,3
37,35,4
35,35,4
32,30,3
39,35,4
33,30,3
34,29,3
34,30,4
47,32,3
32,31,3
34,31,3
38,34,3
33,32,3
34,31,3
34,31,3
39,36,4
38,34,3
40,37,4
34,34,3
34,36,4
40,36,4
42,38,4
44,42,5
