host,window,fft,magnitude,device
2697,1122,104,172,46,266
2703,1055,85,161,42,269
2667,1055,73,151,35,295
2768,1099,99,171,52,284
2824,1045,100,181,64,316
2723,1119,97,179,58,300
2895,1040,96,182,60,271
2710,1127,112,189,63,330
2723,1051,93,166,49,272
2823,1068,82,159,52,302
2655,1056,87,163,44,260
2738,1014,73,148,36,256
2888,1094,106,170,49,298
2703,1094,74,149,33,353
2691,1331,100,171,52,309
2798,1022,71,185,34,240
2773,1069,103,192,74,374
2727,1054,80,160,42,255
2724,1062,95,187,99,340
2731,1042,82,178,48,276
2732,1068,89,153,45,316
2742,1079,97,165,57,274
2674,1098,97,176,57,308
2941,1091,97,173,53,282
2687,1105,136,163,33,322
2761,1088,81,161,42,230
2849,1032,72,155,36,257
2629,1062,83,160,51,292
2720,1058,80,154,35,278
2792,1066,92,172,52,280
