host,window,fft,magnitude,device
2592,1423,78,160,54,273
2647,1193,71,163,59,298
2616,1497,97,181,55,472
3078,4491,96,142,31,468
3096,1051,90,168,44,263
2651,1025,79,161,44,262
2688,1022,109,164,43,275
2797,1033,82,163,45,276
2580,1061,76,153,35,259
2870,1203,82,168,320,269
2644,1056,73,165,34,282
2713,1037,81,160,41,238
2761,1086,74,155,37,251
2991,3250,91,161,35,261
2664,1099,87,174,51,384
2714,1028,75,168,51,278
2684,1050,86,170,49,321
3272,1289,79,155,36,326
2725,1144,97,162,43,311
2811,1605,81,163,35,312
2900,1096,107,167,52,283
2649,1029,89,161,44,272
2761,1253,76,159,37,261
2690,1096,85,163,43,293
2842,1089,86,186,47,258
2678,1103,87,158,35,286
2677,1050,766,154,34,249
2687,1103,80,160,41,249
2706,1299,74,154,44,283
2669,1069,86,156,41,284
