host,window,reverse,fft,magnitude,device
2676,1091,93,172,56,248
2715,1093,97,159,42,372
2681,1047,84,150,35,449
2806,1075,88,159,40,276
3008,1028,68,151,36,243
2695,1076,109,170,50,306
2629,1096,74,150,33,307
2854,1083,105,189,52,287
2872,1068,83,169,43,246
2855,1092,110,165,45,280
2623,1062,98,194,66,293
2729,1041,99,168,62,357
2815,1075,83,161,52,285
2672,1070,79,187,52,314
2704,1088,97,177,58,277
2741,1081,95,170,41,276
2709,1079,98,162,49,329
2655,1065,103,185,54,315
2650,1081,110,191,75,309
2720,1090,75,157,42,300
2721,1106,85,159,37,265
2686,1097,76,159,58,418
2656,1111,87,168,52,313
2854,1076,102,168,52,346
2819,1037,75,156,36,269
2725,1095,108,191,71,299
2634,1072,100,187,72,296
2632,1095,105,183,51,307
3027,1063,77,161,41,280
2736,1080,92,173,55,302
