host,window,reverse,fft,magnitude,device
2694,1033,43083,359223,181,1397
2809,1069,43601,360013,128,983
2741,1079,42825,358621,205,1417
2885,1091,43500,359436,217,1643
2762,1049,42996,358914,132,1306
2736,1094,43488,358837,182,1468
2812,1102,44171,358599,250,1158
2843,1083,43414,360302,218,1671
2774,1088,42994,358827,89,515
2881,1070,43662,360857,118,1159
2768,1071,43306,359068,219,1348
2698,1103,43534,359362,198,1105
2962,1095,43039,358854,179,1549
2734,1094,43436,358760,179,1061
3114,1030,43120,358248,132,1148
2783,1114,43434,361125,221,1548
2657,1054,42889,358817,101,948
2757,1071,43665,361130,218,1533
2724,1130,42799,358597,190,1894
2693,1024,43084,358208,164,1177
2707,1082,43514,359216,137,598
2619,1033,43031,359101,197,1414
2808,1068,43414,358751,245,1150
2727,1061,43209,359290,137,1059
2729,1144,43389,360085,135,1429
2676,1033,43158,360128,170,1419
2805,1088,43354,359047,219,1236
2724,1049,43043,358243,181,1337
2718,1082,43520,359323,162,1254
2649,1025,43070,359165,150,1401
