host,window,fft,magnitude,device
2760,1045,42822,358389,182,1292
2770,1111,43369,360068,158,989
2726,1060,43182,358900,92,593
2851,1086,43368,361288,190,1003
2815,1085,43093,359279,172,1343
2537,1107,43540,360349,128,834
2735,1190,43568,361123,101,669
2849,1090,42894,358979,142,1159
2698,1095,43456,358816,174,1447
2676,1092,43412,360043,317,1209
2702,1063,43114,359095,165,1273
2675,1096,43380,361362,222,1520
2814,1016,43177,359343,168,1505
2830,1071,43468,360850,178,1029
2803,1346,43101,358458,104,1293
2771,1109,43546,359968,216,1509
2784,1049,43040,358407,212,1657
2766,1084,43329,360073,171,1486
2836,1048,43190,359041,197,1328
2886,1090,43487,360446,107,432
2674,1080,43081,359276,138,1247
2851,1061,43565,361559,222,1563
2673,1086,43005,358456,167,1410
2675,1086,43438,360614,218,2150
2822,1046,42967,358370,165,1623
2790,1087,43355,360814,178,1138
2832,1060,43016,359068,168,1648
2729,1107,43403,360585,223,1390
3035,1088,43045,359366,154,1241
3053,1090,43519,361524,192,1411
