host,window,fft,magnitude,device
2772,1181,2975,16215,85,462
2776,1062,2985,16158,65,456
2803,1041,2942,16156,59,369
2681,1084,2921,16241,90,509
2714,1340,2861,16141,76,383
2905,1064,2917,16116,83,491
2699,1059,2992,16174,85,488
2631,1064,2912,16186,126,389
2690,1140,2845,16150,49,449
2940,1080,3015,16708,79,511
2673,1075,2882,16197,189,460
2677,1050,2974,16203,88,619
2749,1095,2868,16177,91,790
2741,1084,2982,16208,85,725
2782,1084,2896,16103,87,519
2644,1078,2910,16180,87,456
2776,1054,2905,16154,61,513
2665,1053,2937,16176,160,577
2714,1094,2882,16119,82,524
2825,1060,2925,16170,72,502
2817,1045,2887,16122,86,456
2743,1096,3014,16212,78,488
2733,1051,2916,16146,76,668
2709,1075,2972,16236,78,778
2711,1055,2895,16233,76,610
2666,1065,2891,16151,69,652
2774,1084,2939,16235,81,697
2859,1075,2900,16192,92,795
2846,1024,2907,16192,80,610
2652,1049,2908,16140,87,852
