host,window,fft,magnitude,device
2710,1016,10966,77012,170,1553
2638,1094,10983,77153,84,701
2834,1048,10942,77108,132,1485
2843,1023,11068,77168,137,1323
2839,1022,10915,77061,135,1425
2789,1113,11039,77270,110,621
2677,1045,10946,76956,173,1255
2722,1063,11035,77045,86,448
2802,1051,11092,76974,176,1322
2790,1068,11091,77198,178,1472
2658,1036,10861,76873,118,975
2704,1137,11021,77356,184,1312
2699,1298,10891,76984,189,1333
2842,1119,11037,77774,95,488
2870,1062,10926,77088,166,941
2863,1058,11043,77211,182,1500
2741,1107,11056,77094,72,391
2907,1029,10860,77220,137,1608
2738,1034,11033,77110,178,2350
2733,1039,10808,77209,166,1145
2729,1083,11021,77223,135,1112
2754,1079,10846,77198,188,1244
2677,1053,10982,77887,140,815
2719,1106,10963,77271,134,1277
2797,1057,11100,77110,313,1324
2774,1036,10890,77205,129,1501
2743,1229,11120,77121,199,1295
2739,1051,10912,77019,169,1514
2727,1080,11103,77291,157,1451
2655,1079,11031,77312,182,1298
