host,window,fft,magnitude,device
2882,1050,10876,76817,88,605
2824,1118,10956,77748,56,360
2788,1076,10930,77343,65,449
2791,1087,10938,77286,91,443
2750,1095,10860,76881,111,706
2658,1045,10881,77119,81,851
2650,1039,10910,77100,104,654
2873,1060,10970,77052,87,666
2851,1093,10866,77008,69,489
2689,1117,10864,77203,143,1011
2722,1058,11023,77176,125,831
2738,1053,10857,77474,147,1090
2596,1024,10916,77059,89,794
2690,1071,10941,76999,92,728
2835,1026,10872,76872,55,457
2862,1092,11347,77078,47,427
2622,1104,10855,76849,65,324
2868,1058,10878,76901,58,423
2742,1127,10930,76913,57,614
2814,1063,10897,77129,83,649
2913,1087,10883,77587,102,642
4344,1301,10860,77116,70,380
2728,1055,10992,77061,146,1000
2749,1115,10969,77127,148,905
2752,1072,10864,77032,81,663
2689,1020,10885,77094,173,869
2745,1117,10831,76816,57,369
2802,1132,10896,77210,49,297
3034,1077,10868,76986,70,407
2752,1079,11052,77090,95,525
