host,window,fft,magnitude,device
2732,1081,94,155,32,262
2694,1202,92,172,53,266
2812,1118,86,152,32,261
2646,1139,104,160,42,296
2674,1090,93,171,51,274
2684,1050,84,177,65,302
2689,1054,99,161,42,262
2609,1080,93,174,55,251
2617,1017,79,161,34,274
2765,1092,82,160,42,228
2661,1205,96,174,45,280
2585,1052,90,187,56,261
2693,1055,96,176,62,344
2699,1082,111,165,38,446
2761,1047,77,160,44,290
2672,1131,111,160,49,276
2737,1103,87,168,51,297
2802,1103,99,175,52,274
2670,1039,71,147,30,281
2701,1027,80,162,41,234
2713,1046,91,158,68,291
2688,1330,105,161,49,368
2867,1029,83,166,37,248
2707,1075,83,163,56,295
2591,1078,73,153,35,254
2821,1069,102,174,42,294
3011,1077,82,157,47,386
2690,1121,103,193,58,300
2895,1054,76,180,69,285
2798,1102,96,181,55,339
