host,window,fft,magnitude,device
2677,1045,2965,16216,74,714
2917,1048,2911,16177,93,471
2855,1348,2925,16131,71,547
2699,1096,2998,16126,72,408
2744,1027,2913,16202,85,536
2669,1067,2955,16648,84,487
2756,1071,2949,16047,43,446
2748,1097,2922,16223,73,500
2866,1059,2918,16244,88,721
2840,1038,2906,16139,73,827
2659,1034,2988,16231,64,578
2639,1130,2940,16115,85,411
2664,1036,2867,16130,86,411
2620,1063,2859,16102,47,720
2710,1050,3016,16121,73,420
2671,1068,2862,16200,79,741
2727,1078,2885,16213,86,403
2637,1070,2897,16237,76,567
2695,1035,2857,16087,78,467
2634,1038,2953,16209,90,706
2689,1064,2849,16075,72,375
2643,1082,2935,16188,86,510
2678,1077,2949,16174,80,464
2694,1172,2973,16240,108,505
2765,1032,2900,16129,96,511
2667,1056,2979,16198,74,751
2635,1053,2904,16219,60,458
2680,1044,2986,16207,68,516
2660,1050,2901,16154,73,640
2642,1238,2914,16190,113,636
