host,window,fft,magnitude,device
2650,1116,2896,16130,71,463
2714,1197,2903,16138,114,723
2902,1188,2905,16041,75,501
2633,1102,2950,16161,105,732
2763,1070,2886,16211,86,440
2755,1058,2870,16143,81,400
2757,1058,2954,16163,90,478
2837,1076,2893,16209,67,619
2651,1044,2911,16127,88,606
2644,1039,2908,16195,76,547
2850,1061,2932,16244,102,512
2762,1051,2892,16101,83,484
2636,1055,2917,16652,83,694
2631,1095,2999,16199,64,485
2687,1072,2926,16236,90,423
2680,1056,2973,16222,117,458
2673,1101,3017,16174,92,497
2655,1035,2893,16151,67,441
2965,1173,2927,16132,56,362
2628,1030,2919,16062,73,456
2787,1058,2959,16233,64,576
2698,1054,2923,16228,79,462
2635,1058,2901,16217,88,432
2662,1079,2894,16119,57,354
2820,1136,2889,16117,74,485
2650,1074,2941,16202,78,377
2680,1074,2859,16204,99,561
2642,1027,2903,16145,41,726
2799,1079,2965,16182,79,589
2711,1032,2901,16220,71,773
