host,window,fft,magnitude,device
2806,1010,10844,77279,177,1477
2753,1091,11136,77110,153,953
2838,1053,10981,77372,310,1740
2720,1084,11088,77159,140,1638
2681,1082,10981,77148,142,1600
3001,1076,11080,77185,95,644
2817,1079,10854,77287,176,1280
2693,1060,11039,77092,84,400
2719,1038,10923,77289,113,1293
2732,1075,10997,77263,169,1508
2787,1019,10937,77288,186,1275
2757,1116,11088,77238,85,478
2691,1014,10959,77157,176,1313
2736,1074,11029,77290,174,1139
2755,1031,10900,77346,105,1121
2718,1091,11018,77296,122,751
2847,1048,10863,77266,86,679
2714,1063,11757,77169,191,1118
2696,1108,10967,77486,223,1594
2753,1065,10993,76965,61,423
2811,1068,11045,77666,180,1135
2745,1051,10922,77196,162,1500
2681,1054,11042,77417,160,988
2834,1036,11122,77391,104,541
2670,1039,10947,77177,148,1249
2791,1073,11029,77036,99,688
2637,1121,10933,77107,120,1243
2661,1076,10919,77258,144,1254
2727,1053,10871,77129,186,1571
3004,1419,10967,77363,169,1216
