host,window,reverse,fft,magnitude,device
2667,1074,2912,16141,96,516
2732,1055,2933,16126,84,633
2708,1086,2884,16183,41,702
2600,1046,2885,16233,100,925
2967,1047,2953,16211,100,640
2864,1040,2887,16069,77,381
2894,1044,2911,16223,91,792
2692,1117,2836,16143,85,530
2730,1036,2932,16175,84,461
2689,1026,2925,16198,75,533
2746,1036,2921,16258,96,820
2716,1091,3002,16133,79,430
2620,1035,2947,16201,70,545
2674,1029,3011,16184,89,615
2604,1067,2903,16138,87,623
2670,1054,2927,16155,77,372
3005,1107,2948,16240,99,452
2584,1070,2883,16250,88,501
2748,1047,2885,16168,64,411
2686,1027,2889,16190,46,549
2678,1082,3000,16169,78,780
2666,1346,2989,16165,76,849
2678,1058,3008,16116,89,518
2691,1042,2975,16189,74,637
2735,1031,2879,16208,82,622
2735,1040,2928,16158,89,545
2850,1062,2906,16189,80,751
2654,1089,2946,16193,79,430
2702,1079,2937,16161,83,609
2703,1130,2982,16158,98,492
