host,window,fft,magnitude,device
2821,1096,171060,1641161,110,607
2833,1351,171753,1644045,156,1270
2834,1387,172278,1639139,185,1562
2838,1370,171488,1640858,173,1749
3023,1364,171625,1638477,189,1944
2837,1585,171267,1639826,189,1812
3015,1343,171910,1639492,211,1860
2909,1362,171086,1643124,98,872
2857,1342,171301,1642125,220,1342
2927,1439,172660,1640782,201,1489
3140,1363,173812,1640635,173,1008
3085,1341,171467,1638723,203,1796
2817,1347,172800,1638473,232,1669
2861,1335,172979,1643561,154,1698
3035,1323,171752,1641029,130,1026
2938,1368,175248,1646844,522,1790
3000,1372,172864,1644214,230,1509
2900,1324,171653,1642093,139,1671
2921,1316,172405,1637645,202,1347
2931,1314,171555,1638610,88,555
2865,1432,173514,1642175,193,1139
2974,1349,171396,1641770,193,1565
2885,1363,171769,1640755,83,490
2856,1363,171029,1640977,169,915
2891,1325,171481,1640753,181,1446
2957,1334,171717,1645296,221,1394
2880,1346,172053,1638362,202,1667
3000,1344,171634,1637435,177,1621
2895,1411,171621,1639874,101,451
2945,1369,172982,1644582,459,1082
