host,window,fft,magnitude,device
2772,1031,767,3499,75,355
2866,1152,789,3551,76,457
2687,1105,755,3496,67,380
2653,1086,793,3491,74,324
2700,1060,743,3550,84,350
2795,1080,775,3498,76,400
2647,1119,766,3444,97,578
2760,1071,780,3518,85,476
2719,1261,757,3445,52,344
2657,1101,769,3577,94,505
2775,1054,797,3542,46,254
2709,1110,798,3469,73,308
2688,1113,742,3409,50,253
2634,1044,734,3404,36,480
2702,1079,787,3558,85,282
2626,1036,753,3498,45,273
2641,1067,769,3555,88,448
2646,1072,757,3446,63,323
2758,1137,756,3433,98,324
2663,1080,786,3551,89,659
2662,1125,772,3468,49,266
2666,1061,760,3515,91,323
2648,1091,746,3475,74,359
2613,1051,792,3476,58,307
2893,1033,767,3496,37,247
2644,1068,856,3541,119,426
3429,1055,745,3434,42,391
2679,1181,782,3525,67,465
2636,1045,766,3538,81,560
2624,1083,759,3491,62,364
