host,window,fft,magnitude,device
2748,1059,2863,16147,58,496
2780,1068,2999,16178,84,532
2687,1068,2954,16152,83,560
2770,1101,2938,16111,61,329
2669,1056,2880,16211,74,615
2854,1097,2947,16166,101,510
2781,1287,2905,16123,70,472
2725,1103,2927,16232,73,781
2726,1066,3002,16123,95,741
2812,1184,3037,16161,69,473
2704,1028,2901,16200,70,615
3020,1077,3017,16224,95,551
2752,1070,2882,16236,76,572
2712,1074,2918,16206,77,771
2697,1070,2919,16192,88,571
2726,1038,2881,16151,75,519
2723,1122,3010,16248,64,678
2702,1060,2919,16196,91,606
2907,1050,2896,16207,78,546
2716,1072,2927,16132,75,469
2761,1419,2900,16157,72,435
2861,1100,2906,16170,77,388
2707,1059,2901,16149,55,413
2717,1081,2919,16213,74,529
2795,1036,2871,16122,86,723
2825,1170,2941,16152,78,507
2807,1032,2904,16215,86,646
2766,1089,2927,16144,84,582
2715,1048,2869,16130,83,807
3104,1078,2920,16199,55,415
