host,window,fft,magnitude,device
2719,1074,129,170,111,287
2837,1078,88,165,49,381
2861,1070,94,173,57,293
2740,1129,83,159,41,302
2728,1044,92,188,70,311
2834,1053,90,180,41,311
2715,1157,74,151,32,239
2723,1079,87,165,55,340
2833,1072,86,165,48,268
2646,1059,88,167,52,275
2727,1077,80,175,57,297
2673,1058,82,162,51,256
2699,1052,81,177,74,333
3079,1081,86,162,52,286
2736,1060,99,185,67,370
2705,1082,87,169,48,376
2812,1049,71,152,35,257
2714,1130,83,165,46,270
2978,1072,87,175,43,371
2870,1188,94,164,49,274
2784,1084,86,160,48,278
2821,1059,85,167,102,365
2750,1100,95,189,65,326
2715,1102,94,187,46,285
2656,1060,83,162,42,250
2827,1048,73,147,32,246
2717,1080,82,170,51,250
2789,1067,74,152,35,282
2708,1082,93,187,72,285
2753,1060,88,155,53,492
