host,window,reverse,fft,magnitude,device
2993,1064,170919,1640418,231,1753
2975,1348,173177,1647469,481,1354
2834,1371,171687,1641542,154,1163
2987,1332,171820,1641243,195,1284
2847,1375,171565,1639096,191,1628
3049,1338,172259,1640993,130,1814
3059,1387,171336,1638801,174,1358
2844,1324,173099,1644638,167,1275
2892,1617,173860,1642275,202,1345
2856,1319,171586,1643716,156,891
2965,1375,171771,1642597,219,1336
2855,1339,173159,1644319,138,1220
2857,1346,171573,1638573,181,1854
3106,1337,171833,1639199,191,1519
2853,1340,172546,1638946,202,1533
2919,1600,171535,1639932,182,1401
2806,1362,171116,1641342,231,1473
2941,1339,172858,1643281,203,1631
2818,1333,173214,1644709,192,1671
2818,1317,171921,1645844,175,1163
2826,1412,171628,1637979,102,569
2907,1438,171678,1639164,202,1475
2877,1371,172915,1642533,192,1982
2810,1313,171420,1642196,210,1604
2838,1337,171215,1641437,226,1686
3367,1358,171264,1644437,166,1184
2899,1367,173331,1646652,112,1416
2862,1301,171741,1645774,144,1499
2888,1341,171623,1638673,153,1566
2867,1329,173566,1639768,82,571
