host,window,fft,magnitude,device
2731,1081,2998,16195,86,700
2705,1082,3022,16182,114,611
2692,1067,2907,16194,66,450
2658,1077,2996,16181,79,445
2709,1072,2957,16184,76,438
2664,1060,2946,16140,86,658
2879,1039,2920,16152,74,535
2671,1050,2857,16131,81,810
2657,1059,2934,16219,84,644
2722,1052,2895,16167,83,677
2835,1077,2881,16229,81,442
2723,1022,2870,16062,66,466
2708,1050,2924,16234,80,511
2879,1047,2902,16151,74,466
2895,1070,2937,16165,78,522
2803,1051,2889,16185,67,500
3067,1266,2919,16125,82,422
2687,1023,2886,16158,77,638
2864,1083,2951,16230,83,439
2758,1046,2880,16122,67,384
2800,1073,2919,16224,96,492
2667,1062,2873,16164,75,464
2707,1060,2944,16229,89,490
2693,1076,2879,16110,98,775
2842,1068,2947,16242,91,590
2967,1057,2953,16155,106,781
2736,1061,2902,16205,82,430
2663,1081,2899,16157,64,578
2792,1062,2980,16250,84,695
2737,1054,2995,16243,83,578
