host,window,reverse,fft,magnitude,device
2774,1295,10997,77276,166,1407
2751,1067,11025,77319,119,903
2701,1043,10975,77093,162,1215
2697,1043,10918,77230,166,1625
2937,1064,11157,77371,154,1264
2833,1088,10989,77179,92,516
2776,1069,11000,77362,122,684
2713,1044,11504,77382,126,1260
2905,1068,10927,77092,152,1542
2817,1072,11026,77102,139,1128
2727,1098,11123,77335,211,1507
2625,1048,10898,77236,159,949
2642,1093,11106,77253,155,938
2802,1067,10976,77095,157,983
2669,1038,11124,77279,160,1193
2772,1037,10869,77250,142,1965
2755,1071,11015,77975,174,1560
2736,1040,10858,77052,194,1285
2726,1068,11062,77392,185,1463
2775,1028,10943,77010,173,1350
3043,1065,11074,77296,175,1677
2817,1056,10857,77041,182,1494
2678,1095,10972,77331,196,1320
2696,1097,10900,77074,130,1474
3044,1064,10974,76998,75,461
2879,1113,11013,78016,177,1725
2758,1030,10990,77285,165,1499
2689,1054,11023,77197,156,991
2696,1063,10977,77053,91,634
2701,1078,11007,77296,184,1315
