host,window,fft,magnitude,device
2776,1139,43064,360329,165,1319
2723,1098,43506,360305,192,1422
2932,1071,42908,358672,186,1332
2757,1170,43514,359384,190,1383
2910,1080,42920,358305,83,732
2792,1082,43641,358738,159,1128
2774,1085,43097,359370,178,879
2706,1096,43515,358798,166,955
2696,1048,42997,360194,149,1193
2758,1121,43481,360310,212,1647
2856,1089,42946,358579,122,1753
2806,1088,43575,359167,113,521
2775,1075,42825,358354,167,1588
2723,1157,43547,358728,174,1231
2831,1120,42986,358584,147,1169
2731,1119,43482,358752,126,933
2694,1173,43071,359129,83,388
2749,1107,43520,360240,181,1268
2690,1035,42988,359425,169,1577
2790,1136,43559,359311,221,1695
2645,1088,42808,359098,139,1276
2741,1078,43522,358818,219,1624
2772,1048,43026,358660,256,949
2663,1097,43556,358939,211,1054
2658,1086,43464,359236,177,1212
2683,1075,43456,360367,161,1175
3106,1067,42896,358612,201,1139
2646,1122,43589,360025,147,822
2747,1093,42816,358923,59,513
2674,1094,43606,358699,229,1765
