host,window,fft,magnitude,device
2889,1099,763,3453,44,297
2803,1097,774,3515,91,352
2883,1076,774,3500,63,302
2695,1064,770,3516,41,315
2738,1014,775,3547,102,312
3008,1110,757,3525,72,316
2814,1068,746,3481,59,483
2821,1067,789,3514,90,263
2698,1130,760,3432,45,363
2712,1072,771,3518,100,313
2903,1072,764,3466,76,409
2693,1068,752,3476,80,264
2973,1050,765,3550,89,365
2767,1038,779,3483,61,298
2634,1107,800,3447,51,332
2682,1061,752,3542,113,436
2646,1101,785,3466,60,324
2784,1018,730,3535,87,544
2681,1058,772,3516,70,387
2748,1092,766,3553,43,336
2706,1091,748,3488,59,327
2771,1034,752,3522,74,317
2826,1059,774,3434,37,373
2755,1093,770,3555,65,315
2736,1179,768,3537,80,526
2694,1163,821,3445,45,298
2752,1020,753,3492,64,454
2856,1058,767,3511,65,386
2794,1040,764,3472,74,360
2668,1353,761,3477,70,540
