host,window,fft,magnitude,device
2801,1093,782,3549,87,484
2743,1106,819,3481,61,370
2717,1043,761,3552,87,337
2743,1102,825,3543,58,288
2669,1079,738,3484,69,312
2773,1061,798,3503,55,688
2698,1086,760,3589,101,529
2845,1065,760,3494,73,312
2694,1072,754,3452,57,324
2754,1064,763,3438,66,604
2767,1060,771,3495,51,282
2689,1111,733,3510,101,528
2676,1034,791,3512,84,312
2754,1069,757,3445,97,326
2670,1063,772,3533,71,344
2736,1066,740,3456,48,299
2770,1019,760,3473,36,271
2709,1047,754,3512,53,299
2733,1070,757,3466,66,355
2739,1090,760,3519,37,364
2898,1051,752,3430,55,259
2762,1055,755,3478,81,494
2739,1084,758,3554,100,533
2744,1057,740,3494,48,289
2733,1108,790,3549,50,265
2763,1106,770,3448,63,336
2806,1051,769,3531,66,320
2714,1023,730,3557,88,585
2773,1060,759,3466,38,292
2796,1030,752,3498,47,301
