host,window,fft,magnitude,device
2608,1032,754,3434,63,315
2683,1054,770,3454,55,277
2665,1042,741,3468,43,333
2700,1065,771,3482,51,263
2625,1020,751,3494,70,413
2733,1111,766,3425,40,400
2615,1042,804,3472,90,381
2752,1054,754,3462,58,276
2648,1057,761,3466,55,431
2823,1080,798,3545,78,552
2968,1123,757,3462,93,363
2707,1077,771,3451,89,439
2661,1080,766,3499,63,344
2762,1067,761,3428,53,387
2720,1055,754,3510,55,280
2742,1064,765,3565,100,435
2735,1081,741,3540,97,476
2642,1075,794,3483,70,377
2669,1048,750,3490,39,515
2771,1049,772,3575,111,676
2677,1057,767,3485,68,307
2746,1043,785,3555,113,510
2735,1065,781,3505,51,301
2845,1086,770,3464,43,292
2772,1076,807,3554,111,328
2823,1127,758,3446,67,309
2782,1144,755,3468,72,460
2808,1031,725,3508,73,303
2747,1068,766,3452,57,303
2733,1072,775,3510,78,313
