host,window,fft,magnitude,device
2727,1055,2889,16112,62,451
2703,1121,3038,16211,81,553
2900,1051,2847,16150,104,549
2825,1081,2870,16084,55,525
3145,1247,2853,16155,76,423
2672,1094,2908,16134,71,333
2839,1078,2908,16111,57,490
2671,1080,2874,16091,64,362
2593,1089,2869,16114,74,434
2753,1108,3020,16240,91,475
2827,1103,2859,16090,51,420
2902,1128,2900,16257,59,624
2671,1075,2951,16130,77,495
2814,1028,2910,16194,56,437
2632,1040,2881,16157,85,847
2857,1057,2917,16141,86,603
2632,1129,2861,16175,54,437
2713,1071,2930,16152,56,584
2842,1152,2892,16105,86,441
2996,1104,2922,16183,78,747
2678,1080,2917,16179,61,434
2784,1268,2938,16215,66,470
2767,1034,2907,16101,68,452
3065,1064,2900,16047,49,360
2657,1133,2865,16113,57,382
2883,3368,2749,16073,56,340
4193,1135,2901,16071,47,324
2710,1103,2995,16168,85,441
2929,1486,3086,16171,78,483
2640,1021,2862,16138,57,374
