host,window,fft,magnitude,device
2868,1082,171871,1644440,173,1765
2895,1302,172219,1643750,90,699
2836,1335,172880,1644698,163,1469
2921,1336,171528,1648892,165,1341
2867,1382,172575,1641271,211,1674
2926,1327,172222,1644633,119,1632
2856,1386,171797,1643458,135,1428
2840,1362,172841,1641905,113,1742
2787,1388,173034,1643848,158,1402
2850,1440,173291,1650660,209,1636
2886,1355,175688,1650309,200,1635
2815,1335,172491,1648238,126,1773
2948,1367,171732,1642154,221,1619
2795,1336,172562,1640839,202,1679
2801,1349,171908,1644863,161,1419
2979,1355,173626,1654777,393,1833
2982,1381,172650,1643039,117,1888
2874,1368,171570,1644182,100,601
3105,1332,174548,1653524,172,1507
2846,1327,173225,1650398,180,1270
2851,1428,173257,1646764,209,1814
2835,1407,171805,1645458,185,1412
3088,1344,171529,1642265,209,1449
2780,1377,171943,1646492,157,1425
2850,1330,172572,1644323,186,1674
2877,1399,171833,1646487,210,1634
2858,1403,171880,1645636,187,1282
2948,1399,172317,1645109,178,1434
2825,1354,171934,1641324,146,1388
2868,1419,171273,1642234,175,1636
