host,window,fft,magnitude,device
2634,1052,74,155,53,356
3002,1029,90,184,68,269
2697,1054,94,163,45,261
2676,1063,102,196,74,330
2630,1077,89,171,51,310
2673,1034,71,153,52,317
2711,1086,96,161,39,252
2712,1034,68,152,34,263
2875,1046,85,170,51,279
2787,1073,87,149,31,293
2684,1094,91,179,41,282
2713,1043,75,159,36,244
2653,1086,89,170,41,366
2644,1048,82,162,45,275
2573,1202,95,177,54,292
2646,1069,93,184,63,337
2635,1084,84,177,53,410
2722,1059,110,182,62,494
2714,1065,92,170,53,294
2652,1042,76,152,35,269
2692,1072,93,174,57,286
2717,1048,72,152,35,237
2678,1070,91,172,52,294
2617,1042,97,178,58,323
2652,1058,109,191,68,351
2937,1077,130,162,40,257
2661,1133,89,161,58,288
2631,1051,72,154,37,333
2686,1129,97,174,80,284
2531,1035,71,168,43,288
