host,window,fft,magnitude,device
2802,1168,171406,1640394,161,1780
2719,1053,171584,1639783,194,1388
2837,1336,172293,1641846,161,1124
3090,1082,175817,1666885,170,1628
2929,1348,176348,1651635,97,598
3085,1342,172015,1641801,172,1577
2944,1339,172511,1643320,202,1450
2966,1334,172614,1639326,119,1503
2927,1336,171350,1638350,149,1432
2835,1330,171419,1641496,223,1633
2886,1577,172661,1651866,489,1387
2837,1415,171551,1641909,149,1186
2857,1433,171594,1645972,220,1562
2993,1348,172103,1642987,218,1574
2872,1354,171558,1646397,154,876
3245,1379,173315,1650083,414,1435
2798,1345,172070,1641974,130,796
2999,1359,171725,1640165,153,1382
2910,1336,171094,1641006,194,1780
2888,1332,172539,1640786,156,1010
4071,1357,174056,1690397,169,689
2739,1058,180299,1714592,103,690
2794,1087,172243,1657771,120,642
2799,1348,179161,1652432,113,794
3168,1359,176318,1666423,131,1070
2872,1076,174495,1679012,193,1509
2874,1409,176343,1644074,176,1891
2825,1318,174300,1641340,207,1480
2932,1353,171588,1650722,177,1110
2912,1397,174231,1659439,159,875
