host,window,fft,magnitude,device
2643,1059,741,3464,48,321
2544,999,757,3475,58,284
2598,1020,757,3510,36,283
3000,1064,748,3489,73,304
2536,1086,751,3472,39,269
2780,1040,730,3466,62,366
2615,1103,757,3485,70,459
2630,1049,742,3437,34,273
2768,1027,756,3445,37,284
2809,2006,765,3460,46,375
2802,1525,762,3425,41,272
2663,1265,741,3430,47,305
2686,1038,735,3458,43,298
2672,1112,758,3428,40,372
2774,1037,724,3449,43,288
2785,1071,952,3485,44,300
2764,1122,794,3500,106,297
2795,1089,746,3459,50,320
2660,1022,756,3461,62,332
2846,1154,776,3475,72,388
2672,1030,734,3453,40,290
2769,1118,797,3493,71,292
2778,1072,737,3464,69,394
2714,1073,764,3431,69,323
2693,1072,745,3480,44,321
2735,1056,744,3486,58,344
2756,1069,738,3473,39,283
3294,1123,805,3493,46,252
2772,1068,752,3496,64,352
2761,1045,733,3437,38,320
