host,window,reverse,fft,magnitude,device
2699,1012,763,3422,37,308
2738,1087,781,3549,73,380
2744,1017,723,3519,105,503
2693,1030,766,3543,56,454
2729,1063,792,3497,33,514
2904,1047,747,3525,98,441
2695,1081,777,3531,82,328
2658,1059,787,3588,92,422
3136,1295,736,3432,63,397
2699,1108,786,3936,79,360
2708,1060,778,3537,75,333
2780,1065,774,3482,44,287
2706,1109,855,3581,84,627
2655,1065,785,3506,56,304
2828,1107,765,3583,96,434
2700,1151,860,3609,86,592
2683,1062,779,3496,58,295
2726,1123,782,3492,53,309
2628,1038,762,3490,41,396
2782,1032,732,3413,122,318
2800,1035,726,3545,88,557
3030,1028,767,3523,81,571
2702,1030,750,3471,35,353
2767,1111,848,3569,87,336
2739,1063,793,3514,49,395
2834,1114,794,3517,57,354
2710,1101,761,3529,60,346
2972,1059,774,3463,56,396
2740,1091,733,3538,65,435
2687,1060,786,3466,50,383
