host,window,fft,magnitude,device
3238,1338,686034,7440053,325,2624
3227,1981,687217,7458665,312,2544
3210,1838,688785,7449875,300,2555
3248,1341,690049,7446382,208,1062
3314,1830,687197,7447584,275,2112
3223,1534,686925,7455385,321,2422
3283,2166,688231,7449912,295,1777
3454,2553,689444,7441130,328,2436
3211,1867,689658,7465346,289,2381
3400,1344,688478,7445532,307,2112
3264,1899,688258,7446852,325,2183
3342,2067,689787,7455180,265,1593
3275,1735,691070,7458221,208,946
3233,1326,689060,7445660,275,2328
3261,2242,686548,7466310,304,2221
3241,1555,688647,7469376,214,1121
3295,1857,689704,7439509,186,1050
3195,1541,691030,7458188,298,2610
3258,2294,689424,7456075,323,2253
3251,2541,685902,7470003,244,1658
3321,1319,689772,7457372,278,2619
3237,2335,689716,7460645,282,2151
3361,1330,688475,7447453,319,2480
3315,1908,688928,7461762,312,2408
3234,2314,689242,7439860,294,2135
3269,2476,690714,7444726,240,1567
3318,2331,690364,7467810,309,2069
3223,2326,690845,7456085,257,2511
3307,1868,686863,7447311,265,1853
3274,2349,688375,7445193,329,2414
