host,window,fft,magnitude,device
2649,1027,10868,77137,225,1776
2659,1105,10983,77057,163,1165
2650,1028,10907,76916,71,620
2932,1111,11132,77122,157,989
2664,1153,10957,77010,239,1313
2687,1084,11009,77744,112,682
2802,1025,10887,77099,180,1584
2974,1147,11023,76994,189,987
2751,1103,11026,77185,100,1171
2831,1073,10957,77044,156,1475
2668,1050,11097,77153,147,1179
2671,1116,10990,76996,109,966
2860,1062,10988,77144,150,1010
2716,1071,11054,77106,169,1394
2665,1100,10978,77264,74,578
2651,1162,11046,77170,177,1362
2734,1062,10917,77123,185,1458
2740,1093,11139,77084,152,1258
2777,1120,10979,77221,122,840
2738,1061,11010,77069,140,1364
2673,1058,11066,77214,164,1383
2765,1084,10981,76925,113,1132
2686,1073,10948,77195,133,1332
2771,1057,11120,77828,211,1103
2795,1077,10837,77088,154,1489
2763,1059,11101,77127,167,1029
2778,1090,10953,77172,199,1459
2749,1294,11055,77203,167,1271
2763,1063,10968,77085,171,1255
2716,1061,11108,77063,133,989
