host,window,fft,magnitude,device
2705,1185,737,3449,42,345
2711,1072,811,3559,68,338
2796,1058,736,3532,61,433
2711,1061,775,3562,101,471
2837,1047,766,3520,43,300
2679,1120,784,3491,39,367
2723,1082,786,3590,72,394
2695,1025,753,3517,116,503
2887,1084,760,3502,69,504
2987,1060,766,3549,77,349
2749,1078,789,3553,111,400
2726,1062,829,3493,39,241
2672,1167,767,3506,71,377
2814,1045,773,3595,74,475
2769,1036,744,3512,64,403
2751,1061,781,3448,52,331
2695,1070,739,3432,38,299
2837,1409,819,3552,55,401
2762,1035,779,3457,59,523
2657,1155,789,3541,84,482
2776,1049,806,3474,35,607
2731,1095,787,3593,84,404
2989,1047,775,3516,95,317
2884,1108,841,3506,103,475
2560,1040,727,3520,74,435
2831,1062,772,3507,46,405
2825,1081,776,3548,73,524
2690,1067,782,3480,61,412
2794,1074,761,3526,78,322
2930,1063,771,3609,83,584
