window,fft,magnitude
85,161,16
82,155,15
78,145,14
89,167,16
81,153,15
82,148,14
76,141,14
87,159,15
91,162,16
95,165,16
74,138,13
86,160,16
89,165,16
79,140,14
88,153,15
84,157,15
79,141,14
88,156,15
76,137,13
88,161,16
99,182,18
76,137,13
74,138,13
89,157,15
86,168,16
79,145,14
82,154,15
85,156,15
89,161,16
84,144,14
