window,fft,magnitude
38,36,4
40,41,4
47,45,5
55,33,3
37,36,4
47,47,5
36,33,3
39,37,4
41,41,4
34,30,3
37,35,4
40,38,4
39,40,4
38,37,4
38,35,4
42,39,4
52,47,5
31,31,3
41,37,4
42,41,4
30,29,3
36,35,4
39,34,4
34,32,3
37,37,4
40,39,4
33,32,3
36,39,4
39,39,4
38,39,5
