window,fft,magnitude
19,6,0
23,8,1
26,9,1
18,7,0
24,8,1
24,8,1
21,7,0
19,7,0
22,7,1
19,7,0
23,8,1
21,8,1
21,7,1
25,8,1
20,7,0
29,9,1
22,9,1
23,8,1
25,9,1
25,9,1
19,7,1
22,8,1
21,8,1
24,9,1
21,8,1
26,10,1
26,9,1
25,9,1
19,6,0
22,6,0
