window,fft,magnitude
1013,3746,219
948,3931,219
941,3714,222
944,3780,220
942,3799,220
945,3752,219
947,3964,219
957,3934,220
948,3783,220
974,3762,220
945,3954,220
958,3757,221
957,4352,248
948,3754,219
948,3777,225
948,3923,219
943,3740,220
1060,3739,219
963,3787,220
959,3900,220
944,3818,219
1025,3763,219
964,3813,220
949,3784,225
944,3748,219
1002,3804,219
941,3746,220
943,3725,220
949,3928,220
939,3749,219
