window,fft,magnitude
25,9,1
24,8,1
25,9,1
23,8,1
24,8,1
21,7,1
26,8,1
20,7,1
23,9,1
21,7,1
22,7,1
22,8,1
23,9,1
20,8,1
27,11,1
19,7,1
30,8,1
22,8,1
21,8,1
27,11,1
18,7,0
23,9,1
22,8,1
23,8,1
25,8,1
25,10,1
27,10,1
20,7,1
24,9,1
23,9,1
